Comunidad Autonoma,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
    Andalucia,15.2,15,15.1,15.1,15.2,15.2,17.9,18,18.2,18.2,18.1,18.3,18.3,18.4,19,19.6,20.1
    Aragon,4.2,4.7,5,5,5.1,5.1,4.9,5,4.9,4.9,4.9,4.8,4.8,4.8,4.7,4.7,4.7
    Asturias (Principado de),1.9,1.9,1.9,1.9,1.9,2,0,2,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.3,2.2,2.2
    Balears (Illes),21.2,20.6,20.7,20.6,20.5,20.2,19.4,19.3,19,0,19,0,18.9,18.5,18.4,18.2,17.9,17.7,17.6
    Canarias,2.8,2.9,3.1,3.6,3.8,3.8,3.8,3.8,3.8,3.8,3.9,3.8,3.8,3.8,3.8,3.7,3.7
    Cantabria,1.7,1.7,1.8,1.9,2,2,1.9,1.9,1.9,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
    Castilla y Leon,8.6,8.4,8.4,8.6,8.5,8.5,8.3,8.2,8.2,8.2,8.2,8.3,8.3,8.2,8.1,8.1,8
    Castilla-La Mancha,4.8,4.7,4.9,4.9,4.9,5,4.8,4.9,4.8,4.8,4.8,4.8,4.8,4.7,4.7,4.7,4.7
    Catalunya,15.7,15.3,15.2,15,14.9,14.7,14.1,14.1,13.9,13.9,14,13.8,14,14.1,13.8,13.8,13.7
    Comunitat Valenciana,6.1,6.3,6.3,6.2,6.4,6.6,6.4,6.4,6.7,6.7,6.8,7.2,7.2,7.2,7.4,7.4,7.4
    Extremadura,1.8,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7
    Galicia,4.7,4.6,4.6,4.5,4.4,4.4,4.3,4.3,4.2,4.2,4.2,4.4,4.3,4.5,4.5,4.4,4.4
    Madrid (Comunidad de),3.3,3.2,3.2,3.2,3.2,3.2,3.1,3,3,3,3,2.9,2.9,2.9,2.9,2.8,2.8
    Murcia (Region de),3,2.9,3,2.9,2.9,2.9,2.8,2.8,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1
    Navarra (Comunidad Foral de),1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1
    Pais Vasco,2.1,2,2,2,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.6
    Rioja (La),1.1,1.1,1.1,1.1,1.1,1.1,1,1,1,1,1,1,1,1,1.1,1.1,1
    Ceuta,0,0.7,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
    Melilla,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
    No consta,0.7,0.1,0.7,0.7,0.5,0,0,0,0,0,0,0,0,0,0,0,0
