ccaa,Andalucia,Aragon,Asturias (Principado de),Balears (Illes),Canarias,Cantabria,Castilla y Leon,Castilla-La Mancha,Catalunya,Comunitat Valenciana,Extremadura,Galicia,Madrid (Comunidad de),Murcia (Region de),Navarra (Comunidad Foral de),Pais Vasco,Rioja (La),Ceuta,Melilla,No consta
2000,15.2,4.2,1.9,21.2,2.8,1.7,8.6,4.8,15.7,6.1,1.8,4.7,3.3,3,1.1,2.1,1.1,0,0,0.7
2001,15,4.7,1.9,20.6,2.9,1.7,8.4,4.7,15.3,6.3,1.7,4.6,3.2,2.9,1.1,2,1.1,0.7,0,0.1
2002,15.1,5,1.9,20.7,3.1,1.8,8.4,4.9,15.2,6.3,1.7,4.6,3.2,3,1.1,2,1.1,0,0,0.7
2003,15.1,5,1.9,20.6,3.6,1.9,8.6,4.9,15,6.2,1.7,4.5,3.2,2.9,1.1,2,1.1,0,0,0.7
2004,15.2,5.1,1.9,20.5,3.8,2,8.5,4.9,14.9,6.4,1.7,4.4,3.2,2.9,1.1,1.9,1.1,0,0,0.5
2005,15.2,5.1,2,0,20.2,3.8,2,8.5,5,14.7,6.6,1.7,4.4,3.2,2.9,1.1,1.9,1.1,0.6,0.1,0
2006,17.9,4.9,2,19.4,3.8,1.9,8.3,4.8,14.1,6.4,1.6,4.3,3.1,2.8,1.1,1.8,1,0.6,0.1,0
2007,18,5,2.1,19.3,3.8,1.9,8.2,4.9,14.1,6.4,1.6,4.3,3,2.8,1.1,1.8,1,0.6,0.1,0
2008,18.2,4.9,2.1,19,0,3.8,1.9,8.2,4.8,13.9,6.7,1.6,4.2,3,3.2,1.1,1.8,1,0.6,0.1,0
2009,18.2,4.9,2.1,19,0,3.8,1.7,8.2,4.8,13.9,6.7,1.6,4.2,3,3.2,1.2,1.8,1,0.6,0.1,0
2010,18.1,4.9,2.2,18.9,3.9,1.7,8.2,4.8,14,6.8,1.6,4.2,3,3.2,1.2,1.8,1,0.6,0.1,0
2011,18.3,4.8,2.2,18.5,3.8,1.7,8.3,4.8,13.8,7.2,1.6,4.4,2.9,3.1,1.2,1.7,1,0.6,0.1,0
2012,18.3,4.8,2.2,18.4,3.8,1.7,8.3,4.8,14,7.2,1.7,4.3,2.9,3.1,1.1,1.7,1,0.6,0.1,0
2013,18.4,4.8,2.2,18.2,3.8,1.7,8.2,4.7,14.1,7.2,1.7,4.5,2.9,3.1,1.1,1.7,1,0.6,0.1,0
2014,19,4.7,2.3,17.9,3.8,1.7,8.1,4.7,13.8,7.4,1.7,4.5,2.9,3.1,1.1,1.7,1.1,0.6,0.1,0
2015,19.6,4.7,2.2,17.7,3.7,1.7,8.1,4.7,13.8,7.4,1.7,4.4,2.8,3.1,1.1,1.7,1.1,0.6,0.1,0
2016,20.1,4.7,2.2,17.6,3.7,1.7,8,4.7,13.7,7.4,1.7,4.4,2.8,3.1,1.1,1.6,1,0.6,0.1,0
